GLS2	GLUD2	1
GLS2	GLUL	1
DHCR7	EBP	1
LIG1	POLD1	1
ACOT1	PECR	1
LIG1	POLD2	1
LIG1	POLD3	1
LIG1	POLD4	1
GLUD2	MDH1	1
CHST2	CHST4	1
CHST2	CHST6	1
SRP19	SRP54	1
SRP19	SRP68	1
SRP19	SRP72	1
SRP19	SRP9	1
GLB1	HEXA	1
GLB1	HEXB	1
SRP19	SRPRB	1
AGT	AGTR1	1
AGT	AGTR2	1
HPD	PRDX6	1
ECHS1	EHHADH	1
MAPK1	PIWIL4	1
CA14	CA7	1
ACPP	FLAD1	1
ELOVL6	YOD1	1
MAOB	TAT	1
ALDH9A1	EHHADH	1
GLB1	HGSNAT	1
ELOVL5	TECR	1
MSH6	RPA1	1
MSH6	RPA2	1
MSH6	RPA3	1
MSH6	RPA4	1
ACO2	MDH1	1
AGTR2	MAS1	1
ACO2	MDH2	1
CA14	CA8	1
MNX1	PAX4	1
MNX1	PAX6	1
POLD4	SSBP1	1
PIGN	PIGO	1
PIGN	PIGP	1
PIGN	PIGQ	1
AGTR1	MAS1	1
PIGN	PIGS	1
PIGN	PIGT	1
PIGN	PIGU	1
PIGN	PIGV	1
PIGN	PIGW	1
PIGN	PIGX	1
PIGN	PIGY	1
PIGN	PIGZ	1
MDH1	MTHFD1	1
MDH1	MTHFD1L	1
MDH1	MTHFD2	1
MDH1	MTHFD2L	1
IAPP	PDX1	1
MAPK3	NOTCH1	1
ACADM	AOC2	1
ACADM	AOC3	1
UST	XYLT1	1
UST	XYLT2	1
NADK	NADSYN1	1
CA2	CA3	1
CA2	CA4	1
CA2	CA5A	1
CA2	CA5B	1
CA2	CA6	1
CA2	CA7	1
NADK	NAMPT	1
CA2	CA8	1
CA2	CA9	1
XRCC5	XRCC6	1
MLYCD	SRM	1
MTHFD1	MTHFD1L	1
MTHFD1	MTHFD2	1
MTHFD1	MTHFD2L	1
MTHFD1	MTHFR	1
MTHFD1	MTHFS	1
ALPP	PTS	1
CA9	CTH	1
RFC3	RFC4	1
RFC3	RFC5	1
CTSA	REN	1
NR5A2	ONECUT1	1
HYAL1	HYAL2	1
HYAL1	HYAL3	1
HYAL1	HYAL4	1
GCH1	SPR	1
ALDH3A2	SRM	1
EXO1	POLD1	1
EXO1	POLD2	1
ALDH7A1	UGDH	1
EXO1	POLD3	1
EXO1	POLD4	1
ATP1A2	CA2	1
ALDH7A1	UGT1A1	1
ALDH7A1	UGT1A10	1
ALDH7A1	MIOX	1
ALDH7A1	UGT1A3	1
ALDH7A1	UGT1A4	1
ALDH7A1	UGT1A6	1
ALDH7A1	UGT1A7	1
ALDH7A1	UGT1A8	1
ALDH7A1	UGT1A9	1
ALDH7A1	UGT2A1	1
ALDH7A1	UGT2A3	1
ALDH7A1	UGT2B10	1
ALDH7A1	UGT2B11	1
ALDH7A1	UGT2B15	1
ALDH7A1	UGT2B17	1
ALDH7A1	UGT2B28	1
ALDH7A1	UGT2B4	1
ALDH7A1	UGT2B7	1
HYAL1	SPAM1	1
ST6GALNAC5	ST8SIA1	1
ST6GALNAC5	ST8SIA5	1
ATP1B3	FXYD2	1
POLD1	RFC1	1
POLD1	RFC2	1
POLD1	RFC3	1
POLD1	RFC4	1
POLD1	RFC5	1
CD38	NT5C1B	1
HYAL1	IDS	1
HYAL1	IDUA	1
ENPEP	REN	1
ALPP	QDPR	1
ATP1B1	ATP1B2	1
ATP1B1	ATP1B3	1
ATP1B1	ATP1B4	1
HNF1A	PKLR	1
ETV6	FMN2	1
CA4	SLC4A4	1
ALDH7A1	MLYCD	1
ACOX2	SCP2	1
SOS1	SOS2	1
ETV6	PIWIL3	1
CHST15	CHST3	1
AMT	ASNS	1
ALDH7A1	UPB1	1
CHST15	CHST7	1
ETV6	PIWIL4	1
CHST15	CHSY1	1
CHST15	CHSY3	1
DHDDS	GGPS1	1
ENPP3	PANK1	1
ENPP3	PANK2	1
ENPP3	PANK3	1
CD38	NT5E	1
ENPP3	PANK4	1
DCLRE1C	POLL	1
